fgid,directional-statement
vf,Eat at least one dark green and one orange vegetable each day.
vf,"Choose vegetables and fruit prepared with little or no added fat, sugar or salt."
vf,Have vegetables and fruit more often than juice.
gr,Make at least half of your grain products whole grain each day.
gr,"Choose grain products that are lower in fat, sugar or salt."
mi,"Drink skim, 1%, or 2% milk each day."
mi,Select lower fat milk alternatives.
me,"Have meat alternatives such as beans, lentils and tofu often."
me,Eat at least two Food Guide Servings of fish each week.
me,Select lean meat and alternatives prepared with little or no added fat or salt.
