fgid, fgcat_id, srvg_sz, food,
vf,1,"125 mL, ½ cup, 6 spears",Asparagus,
vf,1,"125 mL, ½ cup","Beans, green",
vf,1,"125 mL, ½ cup cooked",Bok choy/Chinese cabbage (Choi sum),
vf,1,"125 mL, ½ cup",Broccoli,
vf,1,"125 mL, ½ cup, 4 sprouts",Brussels sprouts,
vf,2,"125 mL, ½ cup, 1 large",Carrots,
vf,1,"125 mL, ½ cup",Chard,
vf,1,"250 mL, 1 cup raw",Dandelion greens,
vf,1,"250 mL, 1 cup",Endive,
vf,1,"125 mL, ½ cup",Fiddleheads,
vf,1,"250 mL, 1 cup raw",Kale/collards,
vf,1,"125 mL, ½ cup, ½ leek",Leeks,
vf,1,"250 mL, 1 cup raw","Lettuce, romaine",
vf,1,"250 mL, 1 cup raw",Mesclun mix,
vf,1,"250 mL, 1 cup raw",Mustard greens,
vf,1,"125 mL, ½ cup",Okra,
vf,1,"125 mL, ½ cup",Peas,
vf,2,"125 mL, ½ cup",Pumpkin,
vf,1,"125 mL, ½ cup",Seaweed,
vf,1,"125 mL, ½ cup",Snow peas,
vf,1,"250 mL, 1 cup raw",Spinach,
vf,2,"125 mL, ½ cup",Squash,
vf,2,"125 mL, ½ cup",Sweet potato,
vf,2,"125 mL, ½ cup",Yam,
vf,0,3 fruits,"Apricot, fresh",
vf,0,"125 mL, ½ cup",Cantaloupe,
vf,0,"125 mL, ½ cup, ½ fruit",Mango,
vf,0,1 fruit,Nectarine,
vf,0,½ fruit,Papaya,
vf,0,1 medium,Peach,
vf,0,1 medium,Apple,
vf,0,½ fruit,Avocado,
vf,0,"125 mL, ½ cup",Bamboo shoots,
vf,0,1 medium,Banana,
vf,0,"125 mL, ½ cup","Beans, yellow",
vf,0,"125 mL, ½ cup",Beets,
vf,0,"125 mL, ½ cup",Berries,
vf,0,"125 mL, ½ cup, ½ pod",Bitter melon,
vf,0,"125 mL, ½ cup",Cabbage,
vf,0,"125 mL, ½ cup, 4 flowerets",Cauliflower,
vf,0,1 medium stalk,Celery,
vf,0,"125 mL, ½ cup",Chayote,
vf,0,20,Cherries,
vf,0,"1 ear, 125 mL, ½ cup",Corn,
vf,0,"125 mL, ½ cup",Cucumber,
vf,0,"60 mL, ¼ cup",Dried fruit,
vf,0,"125 mL, ½ cup",Eggplant,
vf,0,2 medium,"Fig, fresh",
vf,0,½ fruit,Grapefruit,
vf,0,20 fruits,Grapes,
vf,0,"125 mL, ½ cup, 1 fruit",Guava,
vf,0,"125 mL, ½ cup",Honeydew,
vf,0,"125 mL, 1/2 cup",100% fruit juice,
vf,0,1 large fruit,Kiwi,
vf,0,"125 mL, ½ cup",Kohlrabi,
vf,0,"250 mL, 1 cup raw",Lettuce (example: iceberg or butterhead),
vf,0,10 fruits,Lychee,
vf,0,"125 mL, ½ cup",Mixed vegetables,
vf,0,"125 mL, ½ cup",Mushrooms,
vf,0,1 medium,Orange,
vf,0,1 medium,Pear,
vf,0,"125 mL, ½ cup, ½ medium","Peppers, bell",
vf,0,"125 mL, ½ cup, 1 slice",Pineapple,
vf,0,"125 mL, ½ cup",Plantain,
vf,0,1 fruit,Plum,
vf,0,"125 mL, ½ cup, ½ medium",Potato,
vf,0,"125 mL, ½ cup",Radishes,
vf,0,"125 mL, ½ cup",Rhubarb,
vf,0,"125 mL, ½ cup",Tomato,
vf,0,"125 mL, ½ cup",Tomato sauce,
vf,0,"125 mL, ½ cup",Turnip,
vf,0,"125 mL, ½ cup","Vegetable juice, lower sodium",
vf,0,"125 mL, ½ cup",Watermelon,
vf,1,"125 mL, ½ cup",Zucchini,
vf,1,"125 mL, ½ cup, ½ medium","Pepper, sweet, green",
vf,1,"125 mL, ½ cup",Edemame (soy beans),
gr,3,"125 mL, ½ cup cooked",Barley,
gr,3,"½ bagel, 45 g","Bagel, whole grain",
gr,3,"1 slice, 35 g","Bread, pumpernickel or rye",
gr,3,"1 slice, 35 g","Bread, whole grain",
gr,1,"125 mL, ½ cup cooked",Bulgur,
gr,3,30 g,"Cereal, cold, whole grain",
gr,3,"150 g, 175 mL, ¾ cup cooked","Cereal, hot, whole grain (example: oatmeal)",
gr,3,30 g,"Crackers, rye ",
gr,3,"½, 35 g","Muffin, whole grain",
gr,3,"125 mL, ½ cup cooked",Quinoa,
gr,3,"125 mL, ½ cup cooked","Rice, brown",
gr,3,"125 mL, ½ cup cooked","Pasta/noodles, whole grain",
gr,3,"½ pita, 35 g","Pita, whole wheat",
gr,4,"½ piece, 35 g","Tortilla, corn",
gr,3,"½ piece, 35 g","Tortilla, whole wheat",
gr,4,"1 medium, 35 g",Bannock,
gr,4,"1 slice, 35 g","Baguette, French",
gr,4,"1 slice, 35 g","Bread, white",
gr,4,30 g,"Cereal, cold",
gr,4,"150 g, 175 mL, ¾ cup cooked","Cereal, hot, for example: cream of wheat",
gr,4,"125 mL, ½ cup cooked",Congee,
gr,4,"1 slice, 35 g",Cornbread,
gr,4,"125 mL, ½ cup cooked",Couscous,
gr,4,"10, 30 g","Cracker, saltines",
gr,4,"½ muffin, 35 g","English muffin, white",
gr,4,"¼ naan, 35 g",Naan,
gr,4,"1 small, 35 g",Pancake,
gr,4,"125 mL, ½ cup cooked","Pasta/noodles, white",
gr,4,"½ pita, 35 g","Pita, white",
gr,4,"125 mL, ½ cup cooked",Polenta,
gr,4,"125 mL, ½ cup cooked","Rice, white",
gr,4,2 medium,"Rice cake, plain",
gr,4,"1 roll, 35 g","Roll, white",
gr,3,30 g,"Crackers, whole wheat",
gr,3,"125 mL, ½ cup cooked","Rice, wild",
gr,3,"1 roll, 35 g","Roll, whole wheat",
gr,3,"125 mL, ½ cup - cooked","Couscous, whole wheat",
gr,3,"500 mL, 2 cups","Popcorn, without added fat or salt",
gr,3,"½ muffin, 35 g","English muffin, whole grain",
mi,6,"250 mL, 1 cup",Buttermilk,
mi,6,"250 mL, 1 cup",Fortified soy beverage (unsweetened) ,
mi,5,"250 mL, 1 cup","Milk, 1%, 2%, skim",
mi,5,"125 mL, ½ cup undiluted","Milk, evaporated, canned",
mi,5,"250 mL, 1 cup","Milk, goat, enriched",
mi,5,"250 mL, 1 cup","Milk, lactose reduced",
mi,5,"250 mL, 1 cup reconstitued","Milk, powdered",
mi,5,"25 g, 75 mL, 1/3 cup","Milk, powdered",
mi,6,"50 g, 1 , ½ oz","Cheese, block (Cheddar, Mozzarella, Swiss, feta)",
mi,6,"250 ml, 1 cup","Cheese, cottage or quark",
mi,6,"50 g, 1 , ½ oz","Cheese, goat",
mi,6,"50 g, 1 , ½ oz",Paneer,
mi,6,"175 g, 175ml, ¾ cup","Yogurt, plain",
mi,5,"250 mL, 1 cup","Milk, whole",
mi,6,"175 g, 175 mL, ¾ cup",Kefir,
me,7,"175 mL, ¾ cup","Beans, cooked and canned",
me,7,2,Eggs,
me,7,"175 mL, ¾ cup",Lentils,
me,7,"60 mL, ¼ cup","Nuts, shelled",
me,7,"30 mL, 2 Tbsp",Peanut butter or nut butters,
me,7,"60 mL, ¼ cup","Seeds, shelled",
me,7,"150 g, 175 mL, ¾ cup",Tofu,
me,8,75 g (2½ oz) / 125 mL (½ cup),Beef,
me,8,75 g (2½ oz) / 125 mL (½ cup),Bison/Buffalo,
me,8,75 g (2½ oz) / 125 mL (½ cup),Chicken,
me,8,75 g (2½ oz) / 125 mL (½ cup),"Deli meat, low-fat, lower sodium",
me,8,75 g (2½ oz) / 125 mL (½ cup),Duck,
me,8,75 g (2½ oz) / 125 mL (½ cup),"Fish and shellfish, canned (example: crab, salmon, tuna)",
me,8,75 g (2½ oz) / 125 mL (½ cup),"Fish, fresh or frozen (example: herring, mackerel, trout, salmon, sardines, squid, tuna)",
me,8,75 g (2½ oz) / 125 mL (½ cup),"Game birds (example: ptarmigan, partridge, grouse, goose)",
me,8,75 g (2½ oz) / 125 mL (½ cup),"Game meats (example: deer, moose, caribou, elk)",
me,8,75 g (2½ oz) / 125 mL (½ cup),Goat,
me,8,75 g (2½ oz) / 125 mL (½ cup),Ham,
me,8,75 g (2½ oz) / 125 mL (½ cup),Lamb,
me,8,75 g (2½ oz) / 125 mL (½ cup),"Organ meat (example: liver, kidney)",
me,8,75 g (2½ oz) / 125 mL (½ cup),Pork,
me,8,75 g (2½ oz) / 125 mL (½ cup),Rabbit /Hare,
me,8,75 g (2½ oz) / 125 mL (½ cup),"Shellfish, fresh or frozen (example: clams, crab, lobster, mussels, scallops, shrimp, prawns)",
me,8,75 g (2½ oz) / 125 mL (½ cup),Turkey,
me,8,75 g (2½ oz) / 125 mL (½ cup),Veal,
